what;added;who;when;bug_id;removed
Assignee;jdt-text-inbox;dirk_baeumer;2005-09-13 03:14:40 EDT;109319;jdt-ui-inbox
Component;Text;dirk_baeumer;2005-09-13 03:14:40 EDT;109319;UI
CC;markus_keller;markus_keller;2005-09-13 03:39:00 EDT;109319;
Product;JDT;markus_keller;2005-09-13 03:39:00 EDT;27976;Platform
Assignee;Olivier_Thomann;philippe_mulet;2003-01-21 03:29:52 EST;27976;jdt-core-inbox
Status;ASSIGNED;Olivier_Thomann;2003-01-21 08:49:54 EST;27976;NEW
Assignee;daniel_megert;philippe_mulet;2003-01-22 12:36:25 EST;27976;Olivier_Thomann
Status;CLOSED;sdavids;2003-04-10 09:52:14 EDT;25871;RESOLVED
Assignee;daniel_megert;daniel_megert;2005-09-13 04:19:33 EDT;109319;jdt-text-inbox
Priority;P2;daniel_megert;2005-09-13 04:19:33 EDT;109319;P3
Target Milestone;3.2 M2;daniel_megert;2005-09-13 04:19:33 EDT;109319;---
Status;RESOLVED;daniel_megert;2005-09-13 05:20:57 EDT;109319;NEW
OS;All;gergely.nagy;2009-05-13 11:25:45 EDT;276111;Linux
Severity;major;gergely.nagy;2009-05-23 08:45:13 EDT;276111;normal
Status;NEW;gergely.nagy;2009-05-23 08:45:13 EDT;27976;ASSIGNED
Component;UI;gergely.nagy;2009-05-23 08:45:13 EDT;27976;Core
Target Milestone;2.1 RC1;daniel_megert;2003-02-03 02:58:12 EST;27976;2.1 M5
CC;kitlo;kitlo;2003-02-03 11:20:22 EST;27976;
Resolution;FIXED;kitlo;2003-02-03 11:20:22 EST;109319;---
Status;VERIFIED;daniel_megert;2005-09-20 06:17:05 EDT;109319;RESOLVED
Status;CLOSED;pwebster;2005-09-20 08:06:28 EDT;109319;VERIFIED
Severity;blocker;gergely.nagy;2009-06-11 08:40:52 EDT;276111;major
CC;Olivier_Thomann;Olivier_Thomann;2009-06-11 08:48:02 EDT;276111;
Assignee;jdt-ui-inbox;Olivier_Thomann;2009-06-11 08:48:02 EDT;276111;jdt-core-inbox
Component;UI;Olivier_Thomann;2009-06-11 08:48:02 EDT;276111;Core
CC;;daniel_megert;2003-02-12 04:57:55 EST;27976;daniel_megert
Status;RESOLVED;daniel_megert;2003-02-12 04:57:55 EST;27976;NEW
Resolution;FIXED;daniel_megert;2003-02-12 04:57:55 EST;27976;---
Status;CLOSED;nitind;2005-06-23 15:13:19 EDT;27976;RESOLVED
Status;RESOLVED;darin.eclipse;2002-04-05 10:55:10 EST;7197;NEW
Resolution;LATER;darin.eclipse;2002-04-05 10:55:10 EST;7197;---
Status;REOPENED;darin.eclipse;2002-06-26 11:25:02 EDT;7197;RESOLVED
Assignee;jdt-debug-inbox;Olivier_Thomann;2004-04-15 16:03:20 EDT;58684;jdt-core-inbox
Component;Debug;Olivier_Thomann;2004-04-15 16:03:20 EDT;58684;Core
CC;teshiman;teshiman;2004-04-16 10:59:20 EDT;58684;
CC;daniel_megert;daniel_megert;2009-06-11 10:03:09 EDT;276111;
Assignee;daniel_megert;daniel_megert;2009-06-11 10:03:09 EDT;276111;jdt-ui-inbox
Severity;major;daniel_megert;2009-06-11 10:03:09 EDT;276111;blocker
Resolution;---;daniel_megert;2009-06-11 10:03:09 EDT;7197;LATER
Status;RESOLVED;darin.eclipse;2002-06-26 11:25:13 EDT;7197;REOPENED
