title,id,activity,status
Exception reporting in `logging.config`,28335,2016-10-03.19:00:58,2
Issues with PyMemberDef flags,28349,2016-10-03.18:35:06,2
Windows docs have wrong versionadded description,28218,2016-10-03.16:18:16,2
Add interactive console tests,28217,2016-10-03.16:13:41,2
Help manuals do not appear in Windows search,28251,2016-10-03.15:59:55,2
3.6 source doesn't build on centos 6,28346,2016-10-03.10:15:50,2
8/3 is calculated incorrectly,28345,2016-10-03.08:59:25,2
GB2312 codec is using a wrong covert table,24036,2016-10-03.03:50:57,2
Idle (Python 3.4 on Ubuntu) does not allow typing accents,25356,2016-10-03.02:43:56,2
PyUnicode_AsUCS4 doc and impl conflict on exception,28295,2016-10-02.19:00:59,2
bz2 does not support pathlib,28225,2016-10-02.17:05:46,2
HTTPServer server.py assumes sys.stderr != None,28294,2016-10-02.12:19:57,2
gzip does not support pathlib,28227,2016-10-02.10:47:36,2
BUILD_MAP_UNPACK_WITH_CALL is slow,27358,2016-10-02.10:10:28,2
silent truncations in socket.htons and socket.ntohs,28332,2016-10-02.09:39:43,2
Duplicate bytearray test on test_socket.py,20254,2016-10-02.08:38:50,2
chain.__setstate__ Type Confusion,28322,2016-10-02.06:21:44,2
Remove MacOS 9-specific module macurl2path.py,28325,2016-10-02.05:04:48,2
Clean up MacOS 9-specific description in the docstring of os.py,28324,2016-10-02.01:36:28,2
Remove MacOS 9-specific codes from exit() and quit(),28323,2016-10-02.01:35:13,2
Slicing (operation) is not symmetrical with respect to suffixes and prefixes,28336,2016-10-01.19:52:42,2
Broken python-config generated with Estonian locale,28258,2016-10-01.12:23:40,2
Avoid possible crash in pysqlite_connection_create_collation,27897,2016-10-01.05:26:03,2
LZMADecompressor.decompress Use After Free,28275,2016-10-01.04:22:52,2
imghdr does not support pathlib,28228,2016-10-01.02:08:57,2
Add PathLike objects support to BZ2File,27511,2016-10-01.02:06:52,2
test_sock_connect_sock_write_race() of test.test_asyncio.test_selector_events fails randomly on FreeBSD,28283,2016-10-01.01:15:53,2
compileall does not support pathlib,28226,2016-10-01.01:09:49,2
readline.insert_text documentation incomplete,10415,2016-10-01.00:02:51,2
typo in lzma module documentation,28319,2016-09-30.22:18:31,2
python3.4-config --extension-suffix reports '.cpython-34m.so',28301,2016-09-30.17:55:56,2
./Modules/_io/_iomodule.c build failure on AIX (beta1) while (a2) was fine.,28277,2016-09-30.16:15:41,2
Default value identity regression,27942,2016-09-30.07:57:46,2
AIX shared library extension modules installation broken - Python2.7,28311,2016-09-30.07:06:58,2
descriptor and repr get into conflict,28316,2016-09-30.06:40:19,2
ttk Style().configure() overwrites Tk().option_add() Button but not Label,28313,2016-09-29.21:59:23,2
ImportError.__init__ doesn't reset not specified exception attributes,28289,2016-09-29.17:48:08,2
Mixing yield and return with value is allowed,28310,2016-09-29.10:34:48,2
link_objects in setup.cfg crashes build,1703178,2016-09-29.06:17:26,2
"documentation minor issue : ""Step back: WSGI"" section from ""HOWTO Use Python in the web""",26550,2016-09-28.23:33:09,2
"Add ""version added"" for documentation of asyncio.timeout for documentation of python 3.4, 3.5, 3.6",26224,2016-09-28.23:24:46,2
Drop extraneous comment from winreg.QueryValue's docstring,23701,2016-09-28.22:51:43,2
Compile fails with --without-signal-module,22969,2016-09-28.22:45:37,2
distutils should use SafeConfigParser,20754,2016-09-28.22:10:40,2
Optimize update_keyword_args() function,27845,2016-09-28.22:05:09,2
[Patch] Also stop using localtime() in timemodule,28148,2016-09-28.21:41:54,2
ctypes documentation MessageBoxA example produces error,21903,2016-09-28.21:33:54,2
"incorrect output ""int division or modulo by zero"" in Handling Exceptions tutorial",28306,2016-09-28.19:48:38,2
Condition.wait() doesn't raise KeyboardInterrupt,8844,2016-09-28.19:35:55,2
Make error for Python3.6 on Cygwin,28305,2016-09-28.19:31:13,2
test_compile_path fails when python has been installed,27322,2016-09-28.17:35:21,2
Condition.wait() doesn't raise KeyboardInterrupt,28304,2016-09-28.16:38:53,2
Fix doc of Py_CompileStringExFlags,27740,2016-09-28.16:34:55,2
"[PATCH] Fix broken grammar in ""pydoc3 unittest""",28303,2016-09-28.16:24:21,2
"[PATCH] Fix misspelled ""implemented"" word",28300,2016-09-28.16:23:07,2
"test_os failed (python-3.4.3, Linux SuSE)",23520,2016-09-28.15:08:32,2
